road_number,road_name,hierarchy,route_num,distinct_names
06158,"Grenfell Street",Sub-arterial,,2
06161,"Grote Street",Sub-arterial,,5
06164,"Hutt Street",Sub-arterial,,2
06170,"Pulteney Street",Sub-arterial,,1
06176,"West Terrace",Arterial,,1
06180,"Glen Osmond Road",Arterial,A1,1
06182,"South Terrace",Sub-arterial,,1
06185,"Greenhill Road",Sub-arterial,B26,1
06188,"George Street",Sub-arterial,,2
06189,"Maud Street",Sub-arterial,,1
06190,"Duthy Street",Sub-arterial,,1
06191,"Unley Road",Sub-arterial,B29,2
06194,"King William Road",Sub-arterial,,2
06195,"Northgate Street",Sub-arterial,,1
06196,"Victoria Avenue",Sub-arterial,,1
06197,"Leader Street",Sub-arterial,,1
06200,"Richmond Road",Sub-arterial,R1,1
06202,"South Road",Highway,A2,1
06203,"South Road",Highway,M2,3
06204,"South Road",Highway,A2,2
06205,"South Road",Highway,A2,2
06206,"James Congdon Drive",Sub-arterial,R1,2
06209,"Railway Terrace",Sub-arterial,,1
06212,"Anzac Highway",Arterial,A5,2
06213,"Jetty Road",Sub-arterial,,1
06215,"Cross Road",Arterial,A3,1
06221,"South Road",Highway,,1
06222,"South Road",Highway,,1
06223,"South Road",Highway,,1
06224,"South Road",Highway,,1
06231,"Gallipoli Ramp From North",Highway,,1
06232,"Gallipoli Ramp To South",Highway,,1
06233,"Gallipoli Ramp From South",Highway,,1
06234,"Gallipoli Ramp To North",Highway,,1
06300,"Carey Gully Road",Sub-arterial,,2
06303,"Mount Lofty Summit Road",Sub-arterial,B28,2
06306,"Longwood Road",Sub-arterial,,3
06440,"Blythewood Road",Sub-arterial,,1
06441,"Mclaren Street",Sub-arterial,,1
06443,"Old Belair Road",Sub-arterial,B28,3
06444,"Russell Street",Sub-arterial,,1
06445,"James Road",Sub-arterial,B28,1
06446,"Belair Road",Sub-arterial,B29,2
06449,"Upper Sturt Road",Sub-arterial,B28,3
06452,"Main Road",Sub-arterial,B29,1
06455,"Hawthorndene Drive",Sub-arterial,,1
06458,"Springbank Road",Sub-arterial,,1
06460,"Southern Expressway Off Ramp To Ayliffes Road Ramp",Arterial,,1
06461,"Goodwood Road",Sub-arterial,,3
06464,"Daws Road",Sub-arterial,,2
06467,"Shepherds Hill Road",Sub-arterial,,1
06578,"Henley Beach Ramp From Adelaide Ramp",Sub-arterial,,1
06580,"Henley Beach Road",Sub-arterial,A14,2
06583,"Airport Road",Sub-arterial,,2
06586,"Sir Donald Bradman Drive",Arterial,A6,2
06589,"West Beach Road",Sub-arterial,,2
06592,"Morphett Road",Sub-arterial,,1
06598,"Mooringe Avenue",Sub-arterial,,1
06601,"Marion Road",Arterial,A14,1
06602,"Raglan Avenue",Sub-arterial,,2
06604,"Brighton Road",Arterial,A15,4
06607,"Diagonal Road",Sub-arterial,,1
06608,"Diagonal Road",Sub-arterial,,1
06610,"Sturt Road",Sub-arterial,,1
06611,"Sturt Road",Sub-arterial,,1
06613,"Seacombe Road",Sub-arterial,,1
06720,"Majors Road",Sub-arterial,,1
06723,"Sherriffs Road",Sub-arterial,,2
06726,"Panalatinga Road",Highway,,1
06729,"O'sullivan Beach Road",Sub-arterial,,1
06732,"Flaxmill Road",Sub-arterial,,2
06733,"Goldsmith Drive",Sub-arterial,,1
06735,"Beach Road",Sub-arterial,,2
06771,"Majors Road Ramp From Adeliade",Highway,,1
06772,"Majors Road Ramp To Old Noarlunga",Highway,,1
06773,"Majors Road Ramp From Old Noarlunga",Highway,,1
06774,"Majors Road Ramp To Adelaide",Highway,,1
06780,"Southern Expressway",,M2,1
06781,"Marion Rd Ramp From Adelaide",Sub-arterial,,1
06782,"Panalatinga Rd Ramp From Adelaide",Highway,,1
06783,"Brodie Road",Sub-arterial,,2
06784,"Brodie Road",Sub-arterial,,2
06786,"Beach Rd Ramp To Adelaide",Sub-arterial,,1
06787,"Beach Rd Ramp From Old Noarlunga",Sub-arterial,,1
06791,"Marion Rd Ramp To Adelaide",Sub-arterial,,1
06792,"Panalatinga Ramp To Adelaide",Highway,,1
06793,"Sherriffs Rd Ramp From Adelaide",Sub-arterial,,1
06794,"Sherriffs Rd Ramp From Old Noarlunga",Sub-arterial,,1
06796,"Beach Rd Ramp From Adelaide",Sub-arterial,,1
06797,"Beach Rd Ramp To Old Noarlunga",Sub-arterial,,1
06860,"Murray Road",Arterial,A15,3
06863,"River Road",Sub-arterial,,2
06864,"River Rd Access Noarlunga",Sub-arterial,,1
06866,"Commercial Road",Sub-arterial,A15,2
06869,"Seaford Road",Sub-arterial,,1
07000,"Ral Ral Avenue",Sub-arterial,,2
07003,"Stanitzki Road",Sub-arterial,,1
07009,"Morgan Road",Sub-arterial,,1
07015,"Kingston Road",Sub-arterial,B55,4
07018,"Bookpurnong Road",Arterial,B55,3
07100,"Goyder Highway",Arterial,B64,2
07149,"Cadell Valley Road",Sub-arterial,,5
07152,"Lawrie Terrace",Sub-arterial,,3
07158,"Ian Oliver Drive",Sub-arterial,,1
07161,"Taylorville Road",Sub-arterial,,2
07167,"Murbko Road",Sub-arterial,,1
07173,"High Street",Sub-arterial,,2
07200,"Sturt Highway",Highway,A20,7
07202,"Short Road East",Highway,A20,1
07263,"Stott Highway",Sub-arterial,,6
07266,"Hunter Road",Sub-arterial,,1
07380,"Angas Valley Road",Sub-arterial,,1
07382,"Halfway House Road",Sub-arterial,,1
07383,"Murraylands Road",Sub-arterial,,1
07384,"Hunter Road",Sub-arterial,,1
07385,"Mallee Road",Sub-arterial,,2
07386,"Ridley Road",Sub-arterial,,2
07387,"Ridley Road",Sub-arterial,,1
07388,"Murraylands Road",Sub-arterial,,1
07395,"Cameron Highway",Arterial,,1
07398,"Browns Well Highway",Arterial,B57,6
07401,"Burdett Road",Sub-arterial,,2
07404,"Hunter Road",Sub-arterial,,1
07500,"Karoonda Highway",Arterial,B55,4
07503,"Bowhill Road",Sub-arterial,,4
07506,"Jervois Road",Sub-arterial,B35,3
07509,"Kulkami Road",Sub-arterial,,1
07512,"Kulkawurra Road",Arterial,,1
07515,"Old Princes Highway",Sub-arterial,B55,2
07518,"Jervois Ferry Road",Sub-arterial,,2
07522,"Old Dukes Highway",Sub-arterial,,1
07620,"Mannum Road",Arterial,B36,1
07623,"Adelaide Road",Arterial,B55,1
07700,"Mallee Highway",Arterial,B12,5
07760,"Tynan Road",Sub-arterial,,1
07766,"Ngarkat Highway",Arterial,B57,1
07800,"Dukes Highway",Highway,A8,3
07801,"North Terrace",Arterial,B57,1
07880,"Mcintosh Way",Sub-arterial,,2
07883,"Woods Well Road",Sub-arterial,,3
08000,"Riddoch Highway",Highway,A66,6
08160,"Naracoorte Road",Arterial,B57,3
08163,"Frances Road",Sub-arterial,,1
08166,"Rowney Road",Sub-arterial,,2
08320,"Rowney Road",Sub-arterial,,1
08323,"Gap Road",Sub-arterial,,1
08326,"Southern Ports Highway",Arterial,B101,2
08329,"Avenue Range Road",Sub-arterial,,2
08331,"Konetta Road",Sub-arterial,,1
08332,"Lucindale Road",Sub-arterial,,2
08335,"Arthur Street",Sub-arterial,,3
08347,"Smith Street",Arterial,C240,1
08400,"Jubilee Highway East",Highway,A1,6
08480,"Callendale Road",Sub-arterial,,3
08486,"Southern Ports Highway",Sub-arterial,B101,5
08487,"Clay Wells Road",Sub-arterial,,1
08489,"Julian Street",Arterial,C198,2
08492,"Southern Ports Highway",Arterial,B101,1
08640,"Mount Burr Road",Sub-arterial,,3
08646,"Southern Ports Highway",Arterial,B101,4
08649,"Mount Mcintyre Road",Sub-arterial,,1
08650,"Kalangadoo Corner Bypass",Sub-arterial,,1
08652,"Nangwarry Road",Sub-arterial,,2
08655,"Kangaroo Flat Road",Sub-arterial,,2
08658,"Mile Hill Road",Sub-arterial,,3
08661,"Ridge Terrace",Sub-arterial,B101,1
08664,"Williams Road",Sub-arterial,,1
08823,"Carpenter Rocks Road",Sub-arterial,,4
08826,"Commercial Street East",Sub-arterial,,2
08829,"Pick Avenue",Arterial,C192,1
08832,"Riddoch Highway",Arterial,B66,4
10008,"Tieyon Road",Sub-arterial,,1
